seed,ef,pop,yield,herd
1,0.4107142857142857,510,703.4228380793685,90
2,0.41964285714285715,510,687.4070480249399,90
3,0.41964285714285715,510,709.914537830114,90
4,0.41964285714285715,510,688.6291647208158,88
5,0.41964285714285715,510,690.3144825868377,90
6,0.35714285714285715,510,672.2608199740494,90
7,0.45535714285714285,510,699.1048182929271,90
8,0.4732142857142857,510,715.8412025677742,91
9,0.4017857142857143,510,700.3992567040704,91
10,0.39285714285714285,510,679.4902869578449,89
11,0.38392857142857145,510,688.250054066242,91
12,0.4642857142857143,510,689.9041293974226,90
13,0.5,510,703.2307104939854,90
14,0.4642857142857143,510,695.8310737576837,90
15,0.44642857142857145,510,675.057051100683,91
16,0.41964285714285715,510,675.6935611332158,89
17,0.375,510,682.3282842524128,91
18,0.41964285714285715,510,662.5799256787127,90
19,0.41964285714285715,510,672.9914035604718,90
20,0.4107142857142857,510,696.8816722189887,91
21,0.375,510,703.4205332676783,90
22,0.42857142857142855,510,696.872804154466,89
23,0.4017857142857143,510,674.7286542180951,91
24,0.44642857142857145,510,683.860045313924,90
25,0.44642857142857145,510,703.6119369757902,90
26,0.45535714285714285,510,693.8102120311839,91
27,0.4107142857142857,510,694.1988347942308,90
28,0.39285714285714285,510,685.5833819659316,88
29,0.375,510,672.980371884025,89
30,0.39285714285714285,510,694.5747785275206,89
31,0.41964285714285715,510,696.6520425248558,90
32,0.4107142857142857,510,689.9398648472221,88
33,0.35714285714285715,510,667.4667177635218,89
34,0.4375,510,717.3646510926567,90
35,0.4375,510,689.8100498884692,89
36,0.39285714285714285,510,684.2145043856395,89
37,0.39285714285714285,510,689.3555670706075,89
38,0.39285714285714285,510,699.0467205088578,91
39,0.4375,510,703.2868901128629,90
40,0.42857142857142855,510,680.3229522411742,90
41,0.41964285714285715,510,691.8627053194178,89
42,0.42857142857142855,510,701.819833255437,89
43,0.45535714285714285,510,703.4244759332393,90
44,0.38392857142857145,510,652.6493659163945,90
45,0.42857142857142855,510,691.6057035579172,91
46,0.375,510,703.6983564608379,89
47,0.42857142857142855,510,675.7955663535735,90
48,0.4375,510,701.8229459778263,90
49,0.4375,510,696.0181078553987,90
50,0.42857142857142855,510,689.3585907296061,90
51,0.4107142857142857,510,662.1749405465599,90
52,0.42857142857142855,510,700.6556411112456,89
53,0.375,510,694.4372613777647,90
54,0.4375,510,699.5920998998545,90
55,0.30357142857142855,510,676.0728346058294,89
56,0.4107142857142857,510,696.8916770850012,88
57,0.4732142857142857,510,684.875422978834,90
58,0.38392857142857145,510,679.531808175566,89
59,0.35714285714285715,510,666.1629842280638,88
60,0.4375,510,690.1091878423827,90
61,0.4107142857142857,510,690.8452398447737,90
62,0.44642857142857145,510,699.027798811237,90
63,0.4107142857142857,510,699.6634728046886,91
64,0.38392857142857145,510,696.7606917700595,91
65,0.4017857142857143,510,677.8353906582707,90
66,0.38392857142857145,510,703.3923127502438,88
67,0.45535714285714285,510,698.988132983803,88
68,0.39285714285714285,510,693.3428820193087,90
69,0.4642857142857143,510,696.1938348194846,89
70,0.4107142857142857,510,675.9811752343866,90
71,0.38392857142857145,510,686.4352914456578,91
72,0.42857142857142855,510,671.5526871778601,90
73,0.38392857142857145,510,667.7763486470951,89
74,0.375,510,705.0064754935491,89
75,0.36607142857142855,510,688.210041996845,89
76,0.4017857142857143,510,676.3543656637687,90
77,0.4017857142857143,510,658.3277028542819,89
78,0.4017857142857143,510,701.3801840526119,91
79,0.4107142857142857,510,672.2179549775242,90
80,0.39285714285714285,510,690.345357742832,91
81,0.42857142857142855,510,695.8258590152961,90
82,0.41964285714285715,510,665.7056041460576,90
83,0.4017857142857143,510,706.3030709105722,89
84,0.42857142857142855,510,698.2495090187175,89
85,0.39285714285714285,510,700.8243395773063,91
86,0.41964285714285715,510,695.4475116672374,88
87,0.38392857142857145,510,674.1982791216637,89
88,0.42857142857142855,510,688.8536427962567,88
89,0.375,510,684.3006757633416,89
90,0.41964285714285715,510,679.2660881977087,89
91,0.4107142857142857,510,697.5787432673833,89
92,0.45535714285714285,510,666.2092100917022,90
93,0.4017857142857143,510,689.585448578618,88
94,0.39285714285714285,510,692.4927982705119,88
95,0.41964285714285715,510,683.5753702896241,90
96,0.41964285714285715,510,701.2861690682057,90
97,0.4107142857142857,510,684.3797679797174,90
98,0.39285714285714285,510,663.7607946062553,91
99,0.4017857142857143,510,690.8755870934059,88
100,0.39285714285714285,510,689.3960461976284,90
