evolution$generation,evolution$evaluated,giniParcelles,croissanceDemographique,troupeau,giniTroupeau,malusFertilite,strategiePaturage,maxSacs,tauxArachideNourriture,ratioArachideSubsitence,objective$deltaPopulation,objective$deltaFertilite,evolution$samples,deltaFertilite,deltaPopulation
13000,182981,0.10411335484428408,0.01978503564811926,249.99981510605775,0.5426187803040494,0.6141342776421251,collectif,0.0,1.9901347562287746,1.0,0.1625,0.07082705392269589,1,"[0.07082705392269589]","[0.1625]"
13000,182981,0.10023620896684704,0.02,250.0,0.6,0.10169518335805974,collectif,0.8088124672711818,1.9875010966404607,1.0,0.125,0.042931186364696276,5,"[0.15612333168212222,0.06922103542917574,0.020039838451118824,0.042931186364696276,-0.005290430718759807]","[0.18125,0.15,0.075,0.125,0.0375]"
13000,182981,0.23663803341782239,0.01683443395621123,250.0,0.6,0.2990779864754039,collectif,3.8849115077424856,1.9743785731794266,0.6085443406944093,-0.078125,0.04741847417993011,2,"[0.11833524110654307,-0.023498292746682862]","[-0.0125,-0.14375]"
13000,182981,0.15828066016195194,0.011067895218555794,246.2298136962498,0.5124837509457763,0.3078683297049132,collectif,1.6034214766078625,1.5920727830584678,0.8645007703394121,-0.0375,0.04326674217737359,30,"[0.10148198397293984,0.0735040085189704,0.035929834093655785,0.13569876165711153,0.18721908223933983,-0.012518926842236806,0.03369574206319933,0.016258829115679354,0.01906871478151676,0.05937615301600892,0.1233535639121989,0.1465982371567202,0.032140867785710896,-0.03358378665725088,0.09483552992027137,0.006234558391141019,0.10973298599044863,0.0506036502610914,0.10175887395463458,0.02840322324597385,-0.008445877535742927,0.129121566407082,0.09032873184608672,-0.05794689198901106,0.030565022110209856,0.004745776958898459,0.09253274330455545,0.11159353501071492,-0.00929225129419071,-0.05168332616223073]","[-0.01875,-0.0375,-0.04375,0.03125,0.0375,-0.075,-0.075,-0.05625,-0.06875,-0.0375,0.00625,0.025,-0.0375,-0.0875,-0.0375,-0.0375,0.0,-0.00625,0.025,-0.0625,-0.11875,-0.03125,-0.0875,-0.13125,-0.05,-0.0625,-0.04375,0.00625,-0.03125,-0.175]"
13000,182981,0.2522127586731842,0.019999999999999997,250.0,0.5961352615817123,0.3951889469370416,collectif,5.0,1.9992727083999715,1.0,-0.10625,-0.13779105320945623,1,"[-0.13779105320945623]","[-0.10625]"
13000,182981,0.25086866574322364,0.02,250.0,0.6,0.5678803371992766,collectif,4.9960095843053205,1.9998064141894998,1.0,-0.04375,-0.18447208309219995,2,"[-0.14314853074446976,-0.22579563543993014]","[-0.03125,-0.05625]"
13000,182981,0.1,0.0012796893102738174,233.01899570561983,0.20992610677253315,0.5617236262008097,collectif,0.0,1.995280098712066,0.9991934055378123,-0.075,-0.03384892711862851,30,"[-0.002348270249140801,-0.10850124081179177,-0.014051649508392208,-0.049770244749439356,0.04443240003688204,-0.04383335681108117,-0.1122199250179257,-0.02540852313431936,-0.05648811501047036,-0.016134356206051692,-0.10794872747576935,0.07083676535931348,-0.044025871645744966,0.05289453667823982,-0.04616927185994702,-0.10345249595810119,-0.016619382649881626,-0.007049323867866844,-0.08638887757003261,0.04922594601233018,-0.05690536111084824,0.017142156902958353,-0.02362996046300309,-0.034323701599575686,-0.11457308265189936,-0.08402189720837616,0.06098107208360074,-0.043739468700926896,-0.03337415263768134,0.0438814694261126]","[-0.05,-0.125,-0.075,-0.10625,-0.01875,-0.05,-0.10625,-0.125,-0.1,-0.075,-0.04375,-0.00625,-0.075,0.00625,-0.09375,-0.1,-0.05,-0.04375,-0.125,-0.01875,-0.075,-0.01875,-0.08125,-0.075,-0.16875,-0.05625,-0.025,-0.0875,-0.0625,-0.10625]"
13000,182981,0.1,0.0,233.50856263272897,0.13286719548049564,0.5469990751649928,collectif,0.0,1.7804255037541872,1.0,-0.1125,-0.031174431941014977,19,"[-0.01231428035064255,-0.14860487088723426,0.043995529767821825,0.023154491557262163,0.0072245411513223315,-0.06083778748868275,-0.024357634094918177,-0.04474359573368708,-0.004294231692702295,-0.0018933326558668432,-0.07311971214323314,-0.03877931499913362,-0.0618722886841541,-0.031174431941014977,0.0018255229977866933,-0.1192305836651539,-0.06571858094109391,0.056969874343376255,-0.05503788263128041]","[-0.175,-0.19375,-0.06875,-0.08125,-0.09375,-0.1375,-0.1125,-0.125,-0.0875,-0.11875,-0.20625,-0.1125,-0.125,-0.1,-0.06875,-0.19375,-0.09375,-0.0875,-0.13125]"
13000,182981,0.10937840065856637,0.006481619394710507,214.30385032334948,0.23507693241401637,0.011023523741496519,collectif,3.047083790674181,2.0,0.9206243122306401,-0.0125,0.11885052386946653,19,"[0.1308272286412226,0.10761092934088445,0.03530645341741358,0.20083495875350377,0.19353083755888936,0.06842220958557209,0.22616730780418964,0.11816426413019875,0.07095185567391468,0.20717130057345956,0.1658908645642989,0.14923388638004825,0.11885052386946653,0.11137167447702626,0.25731937464724713,0.10348492888369983,0.028155681795110264,0.24779353459790673,0.09405713990128314]","[-0.01875,-0.1125,-0.0875,0.0125,0.03125,-0.0875,0.0,-0.04375,-0.0625,0.0625,0.0,-0.0125,-0.0125,-0.0125,0.03125,-0.01875,-0.075,0.075,-0.05]"
13000,182981,0.10616386801260537,0.012851499050177524,86.12130966548054,0.562916234813567,0.0057435027794723315,mixte,4.293291585119217,1.6518437676386057,0.779811758995395,-0.04375,0.7923391874368264,30,"[0.7682417376981091,0.7967944856446633,0.783910987567555,0.8233093291156958,0.817659757545967,0.8131465700877454,0.7122803686900273,0.7948643319435856,0.7960459656439555,0.7882269632846483,0.7427508562190923,0.7331718005825244,0.8186746938476199,0.8454898671590817,0.7612549244228871,0.7998129261849294,0.8272856182846161,0.7826810529885379,0.7193235291549431,0.7073319089391186,0.7898140429300672,0.795427676577513,0.8181274680870722,0.7133219521338169,0.8233954438781577,0.7539431078998807,0.8371511462478821,0.8388803535023043,0.7559121829774015,0.73814997756479]","[-0.1125,-0.04375,-0.03125,-0.06875,-0.0375,-0.0125,-0.09375,-0.05625,-0.0375,-0.1125,-0.1,0.0,-0.03125,-0.03125,-0.0125,-0.04375,-0.05,-0.075,-0.125,-0.05,-0.01875,-0.03125,-0.01875,-0.1,0.025,-0.09375,0.04375,-0.01875,-0.075,-0.1]"
13000,182981,0.1836733168142109,0.0014318429992607662,110.77420469080208,0.1598724046476441,0.14077017501483868,collectif,3.1772131397954597,1.0467208061022775,0.5695618959517685,-0.36875,0.4680045400216375,30,"[0.5397902452752619,0.468364375786491,0.5626045854604312,0.3444978860238932,0.583878930131133,0.451702088920143,0.49474817398978543,0.6034660429439783,0.4422856150533292,0.5570957088484721,0.5197084740752898,0.5365678328478743,0.21791046411237947,0.4126615278640152,0.3430046333112687,0.4147414315130751,0.3417031504246432,0.4803523000264934,0.44274950233347815,0.46764470425678406,0.47669826607253624,0.3518498603087818,0.2568290410658482,0.43910071607568535,0.5035660959477426,0.5101256094277524,0.48500582383483193,0.4862120997732509,0.27991103079248114,0.42291732215557526]","[-0.33125,-0.34375,-0.3125,-0.38125,-0.3375,-0.39375,-0.35,-0.34375,-0.39375,-0.35,-0.3625,-0.3375,-0.43125,-0.40625,-0.38125,-0.38125,-0.39375,-0.35,-0.38125,-0.35,-0.3625,-0.45,-0.44375,-0.325,-0.3625,-0.375,-0.41875,-0.34375,-0.4125,-0.40625]"
13000,182981,0.10845131935333832,0.019888726691363278,249.9999963372702,0.5879050836253426,0.11515309163930586,collectif,1.5045922494900505,1.98883893133994,0.9911619765747582,0.1375,0.09772324379180182,1,"[0.09772324379180182]","[0.1375]"
13000,182981,0.2028396943873238,0.019619104520701286,249.7495672479528,0.5965636986451539,0.49467823819319784,collectif,2.3046032606299898,1.9823134560111357,1.0,0.05,-0.1730395294334146,1,"[-0.1730395294334146]","[0.05]"
13000,182981,0.10830232542046478,0.017441699059447417,249.99466714286646,0.5780246150963358,0.0,collectif,0.6291750331804544,1.9088631618887102,0.9792372462615957,0.125,0.11809317391905691,1,"[0.11809317391905691]","[0.125]"
13000,182981,0.10841808719536947,0.018565178556837137,250.0,0.6,0.010601339858089486,collectif,0.617418485216666,2.0,0.9805089158260264,0.15625,0.10467398509724661,1,"[0.10467398509724661]","[0.15625]"
13000,182981,0.21008644503917195,0.0197224945093637,249.79916688320137,0.6,0.5041242591852826,collectif,0.5508921663507291,2.0,1.0,0.06875,-0.05395437930996333,1,"[-0.05395437930996333]","[0.06875]"
13000,182981,0.23155707783504093,0.017369952388887947,250.0,0.6,0.40367565634048325,collectif,4.95886090069223,2.0,0.9994172495222527,-0.03125,-0.13516842605426949,1,"[-0.13516842605426949]","[-0.03125]"
13000,182981,0.1283230862904907,0.019779635151933646,250.0,0.47528828333771156,0.5897593581054111,collectif,0.14359760206178518,1.9900585041599903,1.0,0.08125,0.03158552063007185,1,"[0.03158552063007185]","[0.08125]"
13000,182981,0.21129568438624224,0.02,249.9644827684508,0.5732413651838667,0.3571665667622924,collectif,2.2272578354777015,2.0,1.0,0.10625,-0.031232221691220915,5,"[-0.055452874319993586,-0.031232221691220915,0.021995204783719944,0.04683515842217269,-0.0363745551279569]","[0.10625,0.11875,0.06875,0.15625,0.09375]"
13000,182981,0.11106174410529801,0.004797903089237266,232.93379700850522,0.21590367842522662,0.5542671684389958,collectif,0.2077108760455941,1.9861628541906404,1.0,-0.08125,-0.11211373302983287,1,"[-0.11211373302983287]","[-0.08125]"
13000,182981,0.22752268039284357,0.008657721356091237,250.0,0.2909848183299247,0.4656329882787386,collectif,4.6546206588286285,2.0,0.9956835095498423,-0.05625,-0.1500377026415895,30,"[-0.15193001924901758,-0.19380396528797345,-0.14112034236811347,-0.14203370373542878,-0.17899743378801145,-0.22190512858310502,-0.1418988644016061,-0.1746297375255674,-0.1550591293528419,-0.11468386948213294,-0.22309172201272104,-0.21921570568064588,-0.1579605615390661,-0.24577808546662,-0.12421729631480552,-0.19322593277225855,-0.08140728232285915,-0.1580753929240199,-0.21658252811333548,-0.14814538603416139,-0.14690447025036008,-0.11640515823552423,-0.09560575765838555,-0.1983517352122644,-0.07306865168592541,-0.09907153746223582,-0.1182454573609278,-0.015778335572563813,-0.17825576622626343,-0.08633483325858379]","[0.0,-0.0625,-0.09375,-0.04375,-0.09375,-0.09375,-0.00625,-0.06875,-0.08125,0.025,-0.1125,-0.0875,-0.05625,-0.1625,-0.0625,-0.06875,-0.05625,-0.025,-0.0875,-0.03125,-0.05625,-0.01875,0.0,-0.0875,-0.00625,-0.0125,-0.05,-0.06875,0.01875,-0.04375]"
13000,182981,0.18947755071677655,0.014594536783085183,250.0,0.206236666140516,0.6550505090416889,collectif,4.7554138609859535,1.949564634503121,0.8336329036274633,-0.009375000000000001,-0.014382304352926895,30,"[-0.0016159533767901584,0.03314212387685693,0.025968270298898814,-0.1612636505112394,-0.06349083541837636,0.06323047570854855,-0.04967450408236969,0.13069937035384468,-0.049886857503830935,-0.01874689993813437,0.11882767237393979,0.09076394135057397,-0.12058123405709256,-0.06544735819392357,-0.11024201459679459,0.0653507861396286,0.014053390374105067,0.007182456128500419,0.06624693251287155,-0.03586807663195161,0.010827088621324815,-0.09671456053577378,0.006423017338530046,-0.11277997607238548,-0.10605399594435294,0.11489708773291388,-0.043704987764609356,-0.10287675888032755,-0.010511448875061688,-0.0182531598307921]","[-0.01875,0.0125,-0.0375,-0.15,0.0125,0.0125,-0.01875,0.06875,-0.00625,0.0,0.0875,0.01875,-0.075,-0.0125,-0.09375,0.05625,-0.00625,-0.01875,0.0375,-0.0375,-0.05625,-0.05625,-0.01875,-0.08125,-0.0375,0.075,0.0,-0.1,0.03125,0.01875]"
