"","month","year","mean"
"1","04","2000",0.976133651551313
"2","04","2001",0
"3","04","2002",11.9427207637232
"4","04","2003",17.4940334128878
"5","04","2004",15.4558472553699
"6","04","2005",0
"7","04","2006",0
"8","04","2007",2.12649164677804
"9","04","2008",8
"10","04","2009",0
"11","04","2010",1
"12","04","2011",0.00954653937947494
"13","04","2012",28.2840095465394
"14","04","2013",3.88305489260143
"15","04","2014",0
"16","04","2015",0
"17","04","2016",0
"18","04","2017",0.964200477326969
"19","04","2018",0
"20","04","2019",4.16945107398568
"21","05","1995",30.3937947494033
"22","05","1996",4.57040572792363
"23","05","1997",86.9785202863962
"24","05","1998",0.86873508353222
"25","05","1999",8.99522673031026
"26","05","2000",14.0668257756563
"27","05","2001",0
"28","05","2002",3
"29","05","2003",1.16706443914081
"30","05","2004",12
