"","month","year","mean"
"1","05","2005",3.99761336515513
"2","05","2006",16.1217183770883
"3","05","2007",61.126491646778
"4","05","2008",12.0405727923628
"5","05","2009",2
"6","05","2010",9.07159904534606
"7","05","2011",9.45346062052506
"8","05","2012",35.1885441527446
"9","05","2013",12.2386634844869
"10","05","2014",20.6563245823389
"11","05","2015",16.9785202863962
"12","05","2016",75.5656324582339
"13","05","2017",24.0119331742243
"14","05","2018",0
"15","05","2019",15.2195704057279
"16","06","1995",4200.23150357995
"17","06","1996",1083.81861575179
"18","06","1997",4139.96420047733
"19","06","1998",96.9713603818616
"20","06","1999",866.365155131265
