"","month","year","mean"
"1","06","2000",797.114558472554
"2","06","2001",537.405727923628
"3","06","2002",1258.77326968974
"4","06","2003",3487.67303102625
"5","06","2004",1189.28639618138
"6","06","2005",3912.10262529833
"7","06","2006",2086.71599045346
"8","06","2007",453.035799522673
"9","06","2008",4311.80668257757
"10","06","2009",1229.68019093079
"11","06","2010",4203.9785202864
"12","06","2011",432.983293556086
"13","06","2012",1854.07398568019
"14","06","2013",1850.84009546539
"15","06","2014",51.3221957040573
"16","06","2015",10
"17","06","2016",57.6157517899761
"18","06","2017",4599.70883054893
"19","06","2018",1170.10739856802
"20","06","2019",9.3436754176611
