Year,ID,Area,QS,N/ha,Manure/ha,Mulch/ha,Yield/ha,for crop
1,Parcel5334.006044203988-b703609_18a74ce22e5_-64f3,0.326,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel65728.35954499237-b703609_18a74ce22e5_-64eb,0.211,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel51866.746218185275-b703609_18a74ce22e5_-637e,0.159,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel72902.83540714497-b703609_18a74ce22e5_-6322,0.416,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel53628.52588610751-b703609_18a74ce22e5_-64ff,0.379,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel26444.345907332932-b703609_18a74ce22e5_-62fd,0.505,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel89525.98208193677-b703609_18a74ce22e5_-64b6,0.339,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel9686.991955535495-b703609_18a74ce22e5_-6361,0.363,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel46159.1278343666-b703609_18a74ce22e5_-64dd,0.222,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel34107.40816861329-b703609_18a74ce22e5_-639b,0.374,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel34215.60580787864-b703609_18a74ce22e5_-64ed,0.378,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel75817.61926075557-b703609_18a74ce22e5_-64f5,0.270,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel66752.58255365102-b703609_18a74ce22e5_-651b,0.407,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel4479.830125365669-b703609_18a74ce22e5_-6354,0.341,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel29878.149484124282-b703609_18a74ce22e5_-6313,0.293,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel54777.70597568278-b703609_18a74ce22e5_-636f,0.454,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel43089.67215830549-b703609_18a74ce22e5_-62ea,0.377,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel37046.601541521595-b703609_18a74ce22e5_-63a0,0.271,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel95326.73800131503-b703609_18a74ce22e5_-6316,0.387,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel85732.16499069196-b703609_18a74ce22e5_-6376,0.185,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel83764.02668890411-b703609_18a74ce22e5_-64f4,0.258,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel80742.80954090794-b703609_18a74ce22e5_-64f6,0.294,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel44136.70054146739-b703609_18a74ce22e5_-64e4,0.300,1.000,39.500,0.000,0.000,224.775,Peanut
