Base,RainFall (645 mm),Faidherbia (6 / ha),LSU +25%,LSU Full capacity,Crop residue,Rotation Millet-Groundhut,Grazing anywhere anytime,No solidarity,Use own fallow permitted
8.3920788,8.3920788,8.3920788,8.3920788,8.3920788,8.3920788,8.3920788,8.3920788,8.3920788,8.3920788
15.135411600000001,15.135411600000001,15.135411600000001,15.135411600000001,15.135411600000001,15.135411600000001,15.135411600000001,15.135411600000001,15.135411600000001,15.135411600000001
20.451801600000003,20.451801600000003,20.451801600000003,20.451801600000003,20.451801600000003,20.451801600000003,20.451801600000003,20.451801600000003,20.451801600000003,20.451801600000003
18.936464400000002,18.936464400000002,18.936464400000002,18.936464400000002,18.936464400000002,18.936464400000002,18.936464400000002,18.936464400000002,18.936464400000002,18.936464400000002
8.8097724,8.8097724,8.8097724,8.8097724,8.8097724,8.8097724,8.8097724,8.8097724,8.8097724,8.8097724
13.996119600000002,13.996119600000002,13.996119600000002,13.996119600000002,13.996119600000002,13.996119600000002,13.996119600000002,13.996119600000002,13.996119600000002,13.996119600000002
14.313272400000002,14.313272400000002,14.313272400000002,14.313272400000002,14.313272400000002,14.313272400000002,14.313272400000002,14.313272400000002,14.313272400000002,14.313272400000002
20.136358800000004,20.136358800000004,20.136358800000004,20.136358800000004,20.136358800000004,20.136358800000004,20.136358800000004,20.136358800000004,20.136358800000004,20.136358800000004
22.3558812,22.3558812,22.3558812,22.3558812,22.3558812,22.3558812,22.3558812,22.3558812,22.3558812,22.3558812
25.505650800000005,25.505650800000005,25.505650800000005,25.505650800000005,25.505650800000005,25.505650800000005,25.505650800000005,25.505650800000005,25.505650800000005,25.505650800000005
13.966236000000002,13.966236000000002,13.966236000000002,13.966236000000002,13.966236000000002,13.966236000000002,13.966236000000002,13.966236000000002,13.966236000000002,13.966236000000002
23.499903600000003,23.499903600000003,23.499903600000003,23.499903600000003,23.499903600000003,23.499903600000003,23.499903600000003,23.499903600000003,23.499903600000003,23.499903600000003
21.0352248,21.0352248,21.0352248,21.0352248,21.0352248,21.0352248,21.0352248,21.0352248,21.0352248,21.0352248
19.433473199999998,19.433473199999998,19.433473199999998,19.433473199999998,19.433473199999998,19.433473199999998,19.433473199999998,19.433473199999998,19.433473199999998,19.433473199999998
