Base,RainFall (645 mm),Faidherbia (6 / ha),LSU +25%,LSU Full capacity,Crop residue,Rotation Millet-Groundhut,Grazing anywhere anytime,No solidarity,Use own fallow permitted
98.27976371578721,98.2797637157872,98.27976371578725,98.27976371578718,98.27976371578724,98.2797637157872,98.2797637157872,98.27976371578725,98.27976371578721,98.27976371578723
97.2922390263625,97.29223902636247,97.29223902636252,97.29223902636251,97.29223902636252,97.29223902636245,97.29223902636247,97.2922390263625,97.29223902636245,97.2922390263625
96.32936471578779,96.32936471578783,96.3293647157878,96.32936471578776,96.3293647157878,96.32936471578782,96.3293647157878,96.32936471578782,96.3293647157878,96.3293647157878
95.36381891283709,95.36381891283712,95.36381891283715,95.36381891283708,95.36381891283713,95.36381891283712,95.36381891283712,95.36381891283715,95.36381891283712,95.36381891283712
94.41035396646227,94.4103539664623,94.41035396646222,94.41035396646224,94.41035396646221,94.41035396646228,94.41035396646227,94.41035396646224,94.41035396646228,94.41035396646227
93.47629850648622,93.47629850648616,93.4762985064862,93.47629850648624,93.4762985064862,93.47629850648617,93.47629850648619,93.47629850648617,93.47629850648619,93.47629850648619
92.5442331585799,92.54423315857987,92.54423315857987,92.5442331585799,92.54423315857986,92.54423315857986,92.54423315857987,92.54423315857984,92.54423315857987,92.54423315857986
91.59673949940056,91.59673949940054,91.59673949940061,91.59673949940058,91.5967394994006,91.59673949940054,91.59673949940056,91.59673949940056,91.59673949940051,91.59673949940054
90.70797121666791,90.70797121666789,90.7079712166679,90.70797121666794,90.70797121666791,90.7079712166679,90.70797121666789,90.70797121666787,90.70797121666786,90.70797121666791
89.76151590158221,89.76151590158223,89.7615159015822,89.76151590158221,89.76151590158214,89.76151590158217,89.76151590158224,89.7615159015822,89.76151590158229,89.7615159015822
88.90082619797558,88.90082619797556,88.90082619797562,88.90082619797559,88.9008261979756,88.90082619797555,88.90082619797558,88.90082619797556,88.90082619797553,88.90082619797556
88.02186601568421,88.02186601568418,88.02186601568418,88.02186601568422,88.02186601568421,88.0218660156842,88.0218660156842,88.02186601568417,88.02186601568415,88.02186601568421
87.13197051030942,87.1319705103094,87.13197051030936,87.13197051030942,87.1319705103094,87.13197051030942,87.1319705103094,87.13197051030937,87.1319705103094,87.13197051030942
86.26817449049123,86.26817449049123,86.26817449049126,86.26817449049125,86.26817449049126,86.26817449049126,86.26817449049126,86.26817449049128,86.26817449049125,86.26817449049126
85.41554082527507,85.41554082527506,85.41554082527504,85.4155408252751,85.4155408252751,85.4155408252751,85.41554082527503,85.41554082527503,85.41554082527502,85.41554082527506
84.56408305418076,84.56408305418076,84.5640830541807,84.56408305418076,84.56408305418076,84.56408305418077,84.56408305418074,84.56408305418073,84.56408305418076,84.56408305418076
83.60976951941576,83.60976951941572,83.60976951941565,83.60976951941568,83.60976951941566,83.60976951941578,83.6097695194157,83.60976951941572,83.6097695194158,83.60976951941572
82.88167630639603,82.88167630639603,82.88167630639603,82.88167630639607,82.88167630639606,82.88167630639605,82.88167630639603,82.88167630639603,82.88167630639603,82.88167630639603
81.97878589183166,81.97878589183166,81.97878589183168,81.97878589183162,81.9787858918316,81.97878589183166,81.97878589183165,81.97878589183169,81.97878589183165,81.97878589183166
81.03960902695425,81.03960902695428,81.03960902695425,81.03960902695425,81.03960902695425,81.03960902695425,81.03960902695428,81.03960902695425,81.03960902695425,81.03960902695421
80.40559880846615,80.40559880846614,80.40559880846614,80.40559880846611,80.40559880846615,80.40559880846614,80.40559880846617,80.40559880846615,80.40559880846615,80.40559880846612
79.51734684229774,79.51734684229777,79.51734684229774,79.51734684229778,79.5173468422978,79.51734684229774,79.51734684229775,79.51734684229768,79.51734684229773,79.51734684229775
78.69155890447745,78.69155890447743,78.69155890447739,78.69155890447742,78.69155890447738,78.69155890447743,78.69155890447743,78.69155890447743,78.69155890447746,78.69155890447742
77.88113179891896,77.88113179891893,77.88113179891896,77.88113179891899,77.88113179891896,77.88113179891897,77.88113179891894,77.881131798919,77.88113179891894,77.88113179891904
77.10578533599487,77.16270795492258,77.1231096113207,77.10578533599487,77.10578533599485,77.10578533599484,77.00431458051507,77.10578533599492,77.27407829630283,77.08846106066908
76.33821708666527,76.38771501616753,76.37534053379206,76.34811667256572,76.36544094789157,100.82968456413681,76.23427143471051,76.35059156904086,76.49661046107252,76.32089281133946
75.55607520051677,75.59319864764356,75.58577395821818,75.56102499346704,75.57834926879282,97.7956216980648,75.47192872036278,75.56349988994214,75.7416924361506,75.54122582166607
74.80878060273862,74.84342915339028,74.83600446396494,74.8137303956889,74.83847936044002,99.66071886468,74.7172094331593,74.82362998158938,74.98697314894706,74.78155674151235
74.03190975070625,74.08883236963388,74.08140768020854,74.03685954365646,74.08140768020854,96.92091385304826,73.97003733882839,74.04180933660673,74.23237636519045,74.01953526833066
73.27735999846719,73.31200854911876,73.30705875616854,73.28725958436766,73.29468427379297,96.89968015212435,73.23033696544,73.28973448084277,73.50010068122745,73.26003572314137
72.53020724996182,72.5920796618397,72.58960476536463,72.54010683586228,72.56238090413832,97.90072163714814,72.49803359578532,72.54010683586226,72.76779731157293,72.51783276758626
71.78542774220325,71.83245077523043,71.82997587875533,71.80275201752907,71.81512649990462,96.28679480557557,71.77305325982768,71.80275201752906,72.03539228618976,71.77305325982768
